,train,vaild
0,84.40366972477064,83.61774744027304
1,86.89384010484928,87.03071672354949
2,88.2699868938401,86.00682593856655
3,80.34076015727392,82.5938566552901
4,83.87942332896462,82.93515358361775
5,91.54652686762779,87.03071672354949
6,87.87680209698559,86.00682593856655
7,83.15858453473132,83.95904436860069
8,86.30406290956749,86.68941979522184
9,84.53473132372216,87.03071672354949
10,68.74180865006554,81.22866894197952
11,88.9908256880734,88.39590443686006
12,81.71690694626474,82.93515358361775
13,87.2870249017038,84.30034129692832
14,86.95937090432503,79.86348122866895
15,87.87680209698559,80.88737201365188
